ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
12153	0.000547	3.88e-08	12.0573386	8.201823	2.4710638		
41489	0.000547	4.97e-08	11.79621	8.023866	7.1104292	LEP	leptin
41494	0.000547	5.68e-08	11.6560925	7.926014	7.0906975	LEP	leptin
42513	0.000547	7.00e-08	11.4425582	7.773626	7.1429786	LEP	leptin
24718	0.000547	7.27e-08	11.4031115	7.745036	7.1817355	LEP	leptin
4846	0.000547	7.85e-08	11.325846	7.688632	7.2862101	LEP	leptin
12700	0.000547	1.01e-07	11.0695006	7.497606	7.2788967	LEP	leptin
42298	0.000547	1.05e-07	-11.0364613	7.472543	-2.3920692	SLAMF1	signaling lymphocytic activation molecule family member 1
43827	0.000547	1.21e-07	-10.8930744	7.362578	-2.6574599	SLAMF1	signaling lymphocytic activation molecule family member 1
21261	0.000547	1.25e-07	10.8674572	7.342725	7.0558962	LEP	leptin
7801	0.000547	1.34e-07	10.7987482	7.289166	7.107327	LEP	leptin
17945	0.000572	1.53e-07	10.6706731	7.188101	7.1520768	LEP	leptin
19085	0.00069	1.99e-07	10.416179	6.982437	7.0074644	LEP	leptin
22000	0.006387	1.99e-06	8.4194866	5.119073	1.8070316	C2CD4C	C2 calcium dependent domain containing 4C
24710	0.010713	3.57e-06	7.9600697	4.619632	0.9255133		
12796	0.011213	3.99e-06	7.8757584	4.524786	0.917393	FRMD4A	FERM domain containing 4A
34062	0.013057	4.93e-06	7.7145968	4.34066	0.9201609		
7778	0.01687	6.98e-06	7.4562696	4.037632	0.8832937		
39848	0.01687	7.63e-06	-7.390941	3.959432	-3.0322725	OPRK1	opioid receptor kappa 1
26779	0.01687	9.12e-06	7.26135	3.802408	0.7720878		
21933	0.01687	9.35e-06	7.2440155	3.781211	1.0820131		
36964	0.01687	9.57e-06	7.2268944	3.76023	1.2166181	IER3	immediate early response 3
44943	0.01687	1.10e-05	7.1269553	3.636864	1.2995572		
3773	0.01687	1.10e-05	7.1246894	3.634049	0.8694078		
43167	0.01687	1.12e-05	7.1132522	3.619829	0.9348154		
7343	0.01687	1.14e-05	7.1012395	3.604872	0.8663486		
36624	0.01687	1.15e-05	7.0934382	3.595147	0.8964034		
9730	0.01687	1.27e-05	7.0269814	3.511917	0.9943272	SPDYE3	speedy/RINGO cell cycle regulator family member E3
18674	0.01687	1.27e-05	7.0260293	3.510719	0.8074666		
7151	0.01687	1.33e-05	6.9915167	3.46722	0.9187575		
3701	0.01687	1.37e-05	-6.9695332	3.439416	-2.2262447	CLDN1	claudin 1
21251	0.01687	1.38e-05	-6.9648637	3.4335	-1.2115306	MFGE8	milk fat globule-EGF factor 8 protein
37216	0.01687	1.46e-05	-6.9278476	3.386485	-1.4163277	NRCAM	neuronal cell adhesion molecule
3437	0.01687	1.46e-05	6.9274922	3.386033	1.1759822		
14672	0.01687	1.49e-05	6.9126429	3.367112	2.4494162	PLAT	plasminogen activator, tissue type
27614	0.01687	1.54e-05	6.8908087	3.339227	0.868836		
30543	0.01687	1.55e-05	6.8864237	3.333618	0.8223341		
31515	0.01687	1.55e-05	6.8845419	3.33121	0.887124		
35841	0.01687	1.56e-05	6.8827058	3.328859	0.85139		
30313	0.01687	1.62e-05	6.8557627	3.294312	0.9564056		
6823	0.01687	1.66e-05	6.8395587	3.27348	1.0694561		
18175	0.01687	1.67e-05	6.8330304	3.265075	0.8961675		
12274	0.01687	1.69e-05	6.8250817	3.254833	1.6956197	RDH13	retinol dehydrogenase 13
5785	0.01687	1.70e-05	-6.8209415	3.249494	-1.8042655	LINC01088	long intergenic non-protein coding RNA 1088
3592	0.01687	1.72e-05	6.8124917	3.23859	0.8779689		
12042	0.01687	1.75e-05	6.8015961	3.224512	2.0306822	TGM1	transglutaminase 1
43027	0.01687	1.76e-05	-6.7965685	3.21801	-1.2578199	MFGE8	milk fat globule-EGF factor 8 protein
31836	0.017194	1.85e-05	6.7625788	3.173946	0.8533348	TMPRSS5	transmembrane protease, serine 5
28547	0.017194	1.88e-05	6.7498489	3.157396	1.0684627		
11863	0.017194	1.91e-05	-6.7407255	3.145518	-2.4772196		
15491	0.018232	2.07e-05	6.6868952	3.075171	0.863559		
16525	0.018721	2.18e-05	6.6500673	3.026776	0.9430461	ANK1	ankyrin 1
3027	0.018721	2.20e-05	6.6425041	3.016811	0.7904199		
29610	0.018861	2.26e-05	6.6246685	2.993274	1.1661091	ATG16L2	autophagy related 16 like 2
15752	0.018921	2.38e-05	6.5899536	2.947316	0.9214499		
20079	0.018921	2.42e-05	6.5779049	2.93132	0.8327701		
29991	0.018921	2.44e-05	6.574647	2.92699	1.659651	TMCC2	transmembrane and coiled-coil domain family 2
24869	0.018921	2.44e-05	-6.5739376	2.926048	-1.0410925	NMNAT2	nicotinamide nucleotide adenylyltransferase 2
9319	0.018937	2.57e-05	6.5386433	2.879033	1.0969139		
